B1";F1";P1;B2";F2";P2;B3";F3";P3;B4";F4";P4;B5";F5";P5;B6";F6";P6;B7";F7";P7;B8";F8";P8;B9";F9";P9;B10";F10";P10
ASH->AttractionTree->DensityTree";89.89028198830991"; {DENCLUE_EPSILON=13.366667, DENCLUE_SIGMA=27.222221} {DHC_SIGMA=8.777778, DHC_MINPTS=10.0, DHC_THRESHOLD=21.11111} {DHC_SIGMA=8.777778, DHC_MINPTS=10.0, DHC_THRESHOLD=21.11111};AttractionTree->DensityTree";95.96833222184809"; {DHC_SIGMA=11.888889, DHC_MINPTS=16.666666, DHC_THRESHOLD=37.77778} {DHC_SIGMA=11.888889, DHC_MINPTS=16.666666, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";96.21559593199869"; {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";96.21559593199869"; {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";96.21559593199869"; {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";96.21559593199869"; {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";96.21559593199869"; {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";96.21559593199869"; {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";96.21559593199869"; {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";96.21559593199869"; {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=15.0, DHC_MINPTS=15.0, DHC_THRESHOLD=37.77778}
AdaptableKDTree->MergeByDistance";0.0"; {DESCRY_DENSITY=60.0, DESCRY_K=10.0} {DESCRY_DENSITY=60.0, DESCRY_K=10.0};ASH->AttractionTree->DensityTree";90.48892236841776"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=7.5555553} {DHC_SIGMA=2.5555556, DHC_MINPTS=16.666666, DHC_THRESHOLD=48.888885} {DHC_SIGMA=2.5555556, DHC_MINPTS=16.666666, DHC_THRESHOLD=48.888885};ASH->AttractionTree->DensityTree";86.63172165344719"; {DENCLUE_EPSILON=15.577778, DENCLUE_SIGMA=53.444443} {DHC_SIGMA=8.777778, DHC_MINPTS=13.333333, DHC_THRESHOLD=21.11111} {DHC_SIGMA=8.777778, DHC_MINPTS=13.333333, DHC_THRESHOLD=21.11111};ASH->AttractionTree->DensityTree";91.11314118835972"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=7.5555553} {DHC_SIGMA=8.777778, DHC_MINPTS=6.6666665, DHC_THRESHOLD=15.555555} {DHC_SIGMA=8.777778, DHC_MINPTS=6.6666665, DHC_THRESHOLD=15.555555};AttractionTree->DensityTree";95.89436246224665"; {DHC_SIGMA=13.444445, DHC_MINPTS=16.666666, DHC_THRESHOLD=37.77778} {DHC_SIGMA=13.444445, DHC_MINPTS=16.666666, DHC_THRESHOLD=37.77778};AttractionTree->DensityTree";90.87555506799302"; {DHC_SIGMA=4.111111, DHC_MINPTS=20.0, DHC_THRESHOLD=54.444443} {DHC_SIGMA=4.111111, DHC_MINPTS=20.0, DHC_THRESHOLD=54.444443};CandidatesByDistance->ClustersByDistribution";69.80960028922144"; {DBSCAN_NUM_PTS=15.777779, DBSCAN_MAX_DIST=44.555557} {DBCLASD_PTS=3.1111112};ASH->AttractionTree->DensityTree";95.79575071031209"; {DENCLUE_EPSILON=13.366667, DENCLUE_SIGMA=20.666666} {DHC_SIGMA=2.5555556, DHC_MINPTS=20.0, DHC_THRESHOLD=37.77778} {DHC_SIGMA=2.5555556, DHC_MINPTS=20.0, DHC_THRESHOLD=37.77778};AdaptableKDTree->MergeByDistance";90.1941932430908"; {DESCRY_DENSITY=40.333332, DESCRY_K=14.0} {DESCRY_DENSITY=40.333332, DESCRY_K=14.0};ASH->AttractionTree->DensityTree";95.55795101406221"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=33.77778} {DHC_SIGMA=4.111111, DHC_MINPTS=18.333332, DHC_THRESHOLD=43.333332} {DHC_SIGMA=4.111111, DHC_MINPTS=18.333332, DHC_THRESHOLD=43.333332}
CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=15.777779, DBSCAN_MAX_DIST=44.555557} {DBSCAN_NUM_PTS=15.777779, DBSCAN_MAX_DIST=44.555557};DistanceInformation->ClusterByDensityPeak";78.34212741037902"; {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=1.4444444} {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=1.4444444};AdaptableKDTree->MergeByDistance";0.0"; {DESCRY_DENSITY=60.0, DESCRY_K=12.0} {DESCRY_DENSITY=60.0, DESCRY_K=12.0};ASH->AttractionTree->DensityTree";88.71351314648307"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=33.77778} {DHC_SIGMA=7.2222223, DHC_MINPTS=20.0, DHC_THRESHOLD=26.666666} {DHC_SIGMA=7.2222223, DHC_MINPTS=20.0, DHC_THRESHOLD=26.666666};AttractionTree->DensityTree";92.02010645778562"; {DHC_SIGMA=4.111111, DHC_MINPTS=11.666666, DHC_THRESHOLD=43.333332} {DHC_SIGMA=4.111111, DHC_MINPTS=11.666666, DHC_THRESHOLD=43.333332};AdaptableKDTree->MergeByOverlap";84.56166629989177"; {DESCRY_DENSITY=20.666666, DESCRY_K=18.0} {PHC_RADIUS=34.0, PHC_GRID=50.0};CandidatesByDistance->ClustersByDistribution";0.0"; {DBSCAN_NUM_PTS=15.777779, DBSCAN_MAX_DIST=6.4444447} {DBCLASD_PTS=13.666667};AttractionTree->DensityTree";94.98143018393561"; {DHC_SIGMA=10.333334, DHC_MINPTS=16.666666, DHC_THRESHOLD=26.666666} {DHC_SIGMA=10.333334, DHC_MINPTS=16.666666, DHC_THRESHOLD=26.666666};AdaptableKDTree->MergeByDistance";84.43723528626124"; {DESCRY_DENSITY=7.5555553, DESCRY_K=16.0} {DESCRY_DENSITY=7.5555553, DESCRY_K=16.0};AttractionTree->DensityTree";87.9796853733054"; {DHC_SIGMA=2.5555556, DHC_MINPTS=18.333332, DHC_THRESHOLD=15.555555} {DHC_SIGMA=2.5555556, DHC_MINPTS=18.333332, DHC_THRESHOLD=15.555555}
CandidatesBySNN->SNNByConnectiveness";83.48246786740164"; {K_THRESHOLD=32.22222} {SNN_NUM_PTS=11.333334, K_THRESHOLD=32.22222, SNN_MAX_DIST=12.0};CandidatesByDistance->ClustersByDistribution";77.02651726969417"; {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=50.0} {DBCLASD_PTS=17.88889};AdaptableKDTree->ClustersAMR";0.0"; {DESCRY_DENSITY=53.444443, DESCRY_K=6.0} {AMR_LAMBDA=11.666667, AMR_DENSITY=15.777779, AMR_SLICES=21.666666};CandidatesByDistance->ClustersByDistribution";83.38384241469089"; {DBSCAN_NUM_PTS=11.555555, DBSCAN_MAX_DIST=28.222223} {DBCLASD_PTS=5.2222223};CandidatesByDistance->ClusterByConnectiveness";89.27887465162205"; {DBSCAN_NUM_PTS=3.1111112, DBSCAN_MAX_DIST=22.777779} {DBSCAN_NUM_PTS=3.1111112, DBSCAN_MAX_DIST=22.777779};CandidatesByNpts->ClustersByDistribution";73.94235980676842"; {DBCLASD_PTS=11.555555} {DBCLASD_PTS=11.555555};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=36.666668} {DBSCAN_NUM_PTS=3.1111112, DBSCAN_MAX_DIST=22.777779};AttractionTree->DensityTree";92.86298903679452"; {DHC_SIGMA=4.111111, DHC_MINPTS=10.0, DHC_THRESHOLD=32.22222} {DHC_SIGMA=4.111111, DHC_MINPTS=10.0, DHC_THRESHOLD=32.22222};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=17.88889, DBSCAN_MAX_DIST=22.777779} {DBSCAN_NUM_PTS=17.88889, DBSCAN_MAX_DIST=22.777779};CandidatesByNpts->ClustersByDistribution";55.5801781631243"; {DBCLASD_PTS=15.777779} {DBCLASD_PTS=15.777779}
DistanceInformation->ClusterByDensityPeak";62.79966033281683"; {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=1.2222222} {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=1.2222222};DenseAreas->AMRTree->MergeByOverlap";0.0"; {CLIQUE_THRESHOLD=0.26666668, CLIQUE_SLICES=11.222222} {AMR_LAMBDA=14.333334, AMR_DENSITY=15.777779, AMR_SLICES=18.88889} {PHC_RADIUS=50.0, PHC_GRID=50.0};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=13.366667, DENCLUE_SIGMA=60.0};DistanceInformation->CandidatesByNpts->ClustersByDistribution";61.39214368124604"; {DPCI_DC_PERCENT=88.111115, DISTANCE_INFO=1.4444444} {DBCLASD_PTS=17.88889} {DBCLASD_PTS=17.88889};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=17.788889, DENCLUE_SIGMA=60.0};DistanceInformation->ClusterByDensityPeak";65.8229273018745"; {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=2.3333335} {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=2.3333335};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=44.555557} {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=44.555557};DistanceInformation->ClusterByDensityPeak";65.50341216731998"; {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=2.1111112} {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=2.1111112};DistanceInformation->CandidatesByNpts->ClusterByConnectiveness";0.0"; {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=1.6666667} {DBCLASD_PTS=17.88889} {DBSCAN_NUM_PTS=11.555555, DBSCAN_MAX_DIST=28.222223};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=14.444445} {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=33.666668}
CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=7.3333335, DBSCAN_MAX_DIST=28.222223} {DBSCAN_NUM_PTS=7.3333335, DBSCAN_MAX_DIST=28.222223};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=5.2222223, DBSCAN_MAX_DIST=22.777779} {DBSCAN_NUM_PTS=5.2222223, DBSCAN_MAX_DIST=22.777779};CandidatesBySNN->ClustersByDistribution";0.0"; {K_THRESHOLD=14.444445} {DBCLASD_PTS=15.777779};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=11.155556, DENCLUE_SIGMA=7.5555553} {DBCLASD_PTS=3.1111112};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=20.0} {DBSCAN_NUM_PTS=3.1111112, DBSCAN_MAX_DIST=44.555557};DenseAreas->ClustersByAttractors";0.0"; {CLIQUE_THRESHOLD=0.16666673, CLIQUE_SLICES=15.333334} {DENCLUE_EPSILON=4.522222, DENCLUE_SIGMA=40.333332};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=9.444445} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=6.4444447};CandidatesByNpts->ClustersByDistribution";51.56935065710621"; {DBCLASD_PTS=20.0} {DBCLASD_PTS=20.0};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=2.311111, DENCLUE_SIGMA=7.5555553};CandidatesBySNN->ClustersByDistribution";0.0"; {K_THRESHOLD=45.555557} {DBCLASD_PTS=11.555555}
ClustersByAttractors";0.0"; {DENCLUE_EPSILON=15.577778, DENCLUE_SIGMA=53.444443};DistanceInformation->ClusterByDensityPeak";0.0"; {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=3.0} {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=3.0};ASH->ClustersByAttractors";0.0"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=20.666666} {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=20.666666};CandidatesBySNN->ClustersByDistribution";0.0"; {K_THRESHOLD=32.22222} {DBCLASD_PTS=17.88889};CandidatesBySNN->MergeByDistance";0.0"; {K_THRESHOLD=23.333334} {DESCRY_DENSITY=7.5555553, DESCRY_K=20.0};DenseAreas->ClustersByAttractors";0.0"; {CLIQUE_THRESHOLD=0.26666668, CLIQUE_SLICES=11.222222} {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=14.111111};DenseAreas->ClustersByAttractors";0.0"; {CLIQUE_THRESHOLD=0.16666673, CLIQUE_SLICES=27.666668} {DENCLUE_EPSILON=17.788889, DENCLUE_SIGMA=60.0};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=15.577778, DENCLUE_SIGMA=14.111111};CandidatesByDistance->ClustersByDistribution";0.0"; {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=6.4444447} {DBCLASD_PTS=15.777779};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=14.444445} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=28.222223}
Equally Sized Grid->AMRTree->ClustersAMR";0.0"; {AMR_SLICES=7.7777777} {AMR_LAMBDA=14.333334, AMR_DENSITY=3.1111112, AMR_SLICES=7.7777777} {AMR_LAMBDA=14.333334, AMR_DENSITY=3.1111112, AMR_SLICES=7.7777777};AdaptableKDTree->ClustersAMR";0.0"; {DESCRY_DENSITY=60.0, DESCRY_K=20.0} {AMR_LAMBDA=14.333334, AMR_DENSITY=20.0, AMR_SLICES=10.555555};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=11.155556, DENCLUE_SIGMA=60.0} {DBCLASD_PTS=7.3333335};ASH->ClustersByAttractors";0.0"; {DENCLUE_EPSILON=6.733333, DENCLUE_SIGMA=40.333332} {DENCLUE_EPSILON=6.733333, DENCLUE_SIGMA=40.333332};CandidatesBySNN->MergeByOverlap";0.0"; {K_THRESHOLD=27.777779} {PHC_RADIUS=50.0, PHC_GRID=34.0};Equally Sized Grid->AMRTree->ClustersAMR";0.0"; {AMR_SLICES=7.7777777} {AMR_LAMBDA=3.6666667, AMR_DENSITY=5.2222223, AMR_SLICES=7.7777777} {AMR_LAMBDA=3.6666667, AMR_DENSITY=5.2222223, AMR_SLICES=7.7777777};AdaptableKDTree->ClustersAMR";0.0"; {DESCRY_DENSITY=20.666666, DESCRY_K=16.0} {AMR_LAMBDA=3.6666667, AMR_DENSITY=17.88889, AMR_SLICES=27.222221};DenseAreas->ClustersByAttractors";0.0"; {CLIQUE_THRESHOLD=0.3, CLIQUE_SLICES=23.555555} {DENCLUE_EPSILON=4.522222, DENCLUE_SIGMA=46.888885};CandidatesBySNN->MergeByOverlap";0.0"; {K_THRESHOLD=32.22222} {PHC_RADIUS=44.666668, PHC_GRID=23.333334};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=2.311111, DENCLUE_SIGMA=40.333332} {DBCLASD_PTS=7.3333335}
Equally Sized Grid->AMRTree->MergeByDistance";0.0"; {AMR_SLICES=16.11111} {AMR_LAMBDA=9.0, AMR_DENSITY=15.777779, AMR_SLICES=16.11111} {DESCRY_DENSITY=33.77778, DESCRY_K=8.0};CandidatesBySNN->ClustersByDistribution";0.0"; {K_THRESHOLD=14.444445} {DBCLASD_PTS=15.777779};Equally Sized Grid->AMRTree->MergeByDistance";0.0"; {AMR_SLICES=30.0} {AMR_LAMBDA=25.0, AMR_DENSITY=20.0, AMR_SLICES=30.0} {DESCRY_DENSITY=40.333332, DESCRY_K=18.0};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=15.577778, DENCLUE_SIGMA=40.333332};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=15.777779} {DBSCAN_NUM_PTS=3.1111112, DBSCAN_MAX_DIST=6.4444447};AdaptableKDTree->ClustersAMR";0.0"; {DESCRY_DENSITY=20.666666, DESCRY_K=12.0} {AMR_LAMBDA=19.666668, AMR_DENSITY=13.666667, AMR_SLICES=30.0};Equally Sized Grid->AMRTree->ClustersAMR";0.0"; {AMR_SLICES=16.11111} {AMR_LAMBDA=11.666667, AMR_DENSITY=20.0, AMR_SLICES=16.11111} {AMR_LAMBDA=11.666667, AMR_DENSITY=20.0, AMR_SLICES=16.11111};Equally Sized Grid->AMRTree->MergeByOverlap";0.0"; {AMR_SLICES=13.333333} {AMR_LAMBDA=3.6666667, AMR_DENSITY=9.444445, AMR_SLICES=13.333333} {PHC_RADIUS=12.666667, PHC_GRID=12.666667};CandidatesBySNN->DistanceInformation->CandidatesByNpts->ClusterByConnectiveness";0.0"; {K_THRESHOLD=27.777779} {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=1.4444444} {DBCLASD_PTS=20.0} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=6.4444447};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=44.555557} {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=44.555557}
CandidatesByDistance->ClustersByDistribution";0.0"; {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=22.777779} {DBCLASD_PTS=7.3333335};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=7.3333335, DBSCAN_MAX_DIST=50.0} {DBSCAN_NUM_PTS=7.3333335, DBSCAN_MAX_DIST=50.0};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=20.0} {DBSCAN_NUM_PTS=11.555555, DBSCAN_MAX_DIST=39.111115};Equally Sized Grid->AMRTree->MergeByDistance";0.0"; {AMR_SLICES=18.88889} {AMR_LAMBDA=25.0, AMR_DENSITY=20.0, AMR_SLICES=18.88889} {DESCRY_DENSITY=7.5555553, DESCRY_K=20.0};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=27.777779} {DBSCAN_NUM_PTS=11.555555, DBSCAN_MAX_DIST=6.4444447};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=2.311111, DENCLUE_SIGMA=27.222221} {DBCLASD_PTS=11.555555};DenseAreas->AMRTree->MergeByOverlap";0.0"; {CLIQUE_THRESHOLD=0.066666745, CLIQUE_SLICES=19.444445} {AMR_LAMBDA=14.333334, AMR_DENSITY=3.1111112, AMR_SLICES=7.7777777} {PHC_RADIUS=28.666668, PHC_GRID=18.0};CandidatesBySNN->DistanceInformation->CandidatesByNpts->ClustersByDistribution";0.0"; {K_THRESHOLD=50.0} {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=2.5555556} {DBCLASD_PTS=3.1111112} {DBCLASD_PTS=3.1111112};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=5.2222223} {DBSCAN_NUM_PTS=13.666667, DBSCAN_MAX_DIST=50.0};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=41.111115} {DBSCAN_NUM_PTS=11.555555, DBSCAN_MAX_DIST=22.777779}
